Question,Category,Type,Option1,Option2,Option3,Option4,Owner
What was the most profound spiritual moment of your life?,Deep,Subjective,,,,,
Do you believe in God?,Deep,Subjective,,,,,
Do you believe in the after-life? What do you think it will be like?,Deep,Subjective,,,,,
"If you believe - When you meet God, what do you want to say to Him?",Deep,Subjective,,,,,
Do you have a fear of dying?,Deep,Subjective,,,,,
How do you imagine your death would be?,Deep,Subjective,,,,,
What have you learned from life? ,Deep,Subjective,,,,,
What traditions have been passed down in your family?,Deep,Subjective,,,,,
Who were/are your favorite relatives?,Deep,Subjective,,,,,
What are the classic family stories? Jokes? Songs?,Deep,Subjective,,,,,
Do you have any military ties?,Deep,Subjective,,,,,
How would you feel - if you are drafted to join the military right now?,Deep,Subjective,,,,,
Do you think you could handle the military lifestyle?,Deep,Subjective,,,,,
How do you grieve? ,Deep,Subjective,,,,,
Do you follow any religious traditions?,Deep,Subjective,,,,,
Have you ever changed religion?,Deep,Subjective,,,,,
What role do your beliefs play in your life today?,Deep,Subjective,,,,,
"Have you ever been fired from work? If so, why?",Deep,Subjective,,,,,
What was your first boss like? What did you learn from him or her?,Deep,Subjective,,,,,
Do you believe in Miracles?,Deep,Subjective,,,,,
"If you could do one thing differently in your life, what would it be?",Deep,Subjective,,,,,
What do you recall about your first date?,Deep,Subjective,,,,,
Would you date someone of a different religion?,Deep,Subjective,,,,,
Are your parents seperated or together?,Deep,Objective,Seperated,Together,,,
Is marriage important to you?,Deep,Objective,Yes,No,,,
Do you think it's important for couples to discuss their sexual history or expectations?,Deep,Subjective,,,,,
How do you feel talking about sex?,Deep,Subjective,,,,,
How did you learn about sex?,Deep,Subjective,,,,,
What's a good salary for a couple in the US?,Deep,Subjective,,,,,
Would it bother you if your companion makes more money than you?,Deep,Subjective,,,,,
Who do you think the breadwinner should be in a relationship?,Deep,Objective,Man,Woman,Both,,
What's an ideal amount of money that you should consult with your partner before spending?,Deep,Subjective,,,,,
What's your greatest fear about married life?,Deep,Subjective,,,,,
Do you think it's ok to talk to other people about intimate aspects of your relationship?,Deep,Subjective,,,,,
Do you think religion/ Spirutality is important in choosing a partner?,Deep,Subjective,,,,,
If you grew up practicing a religion; which religion did you practice?,Deep,Subjective,,,,,
How old is too old for one night stand?,Deep,Subjective,,,,,
Would you agree to an open marriage?,Deep,Subjective,,,,,
What is your current relationship with God/Creator?,Deep,Subjective,,,,,
How does your sexual identity affect your relationship?,Deep,Subjective,,,,,
How do you react when you get angry?,Deep,Subjective,,,,,
When was the last time you got angry at yourself?,Deep,Subjective,,,,,
Your most embarrashing moment was when _____?,Deep,Subjective,,,,,
How do you react when you face a fear of yours?,Deep,Subjective,,,,,
"When you face challenges, who is your main support system?",Deep,Subjective,,,,,
Do you think attending college is important in today's society?,Deep,Subjective,,,,,
